variant,type,depth,nodes,edges,calls
broad,low,2,13,21,5.25
broad,low,3,42,62,3.875
broad,low,4,52,98,4.261
broad,low,5,214,387,4.5
broad,low,6,733,1312,4.463
broad,low,7,793,1397,4.611
broad,low,8,1912,3522,4.515
broad,low,9,13631,24426,4.57
broad,low,10,21687,38775,4.6
broad,low,11,82152,147191,4.551
broad,low,12,130294,234111,4.543
broad,midlow,2,26,38,5.429
broad,midlow,3,33,55,4.583
broad,midlow,4,60,117,4.333
broad,midlow,5,147,265,4.417
broad,midlow,6,769,1374,4.642
broad,midlow,7,1112,2025,4.48
broad,midlow,8,4292,7699,4.494
broad,midlow,9,5559,10015,4.548
broad,midlow,10,13436,24063,4.551
broad,midlow,11,26771,48196,4.525
broad,midlow,12,257442,461967,4.55
broad,midhigh,2,22,37,4.625
broad,midhigh,3,61,99,4.304
broad,midhigh,4,93,170,4.722
broad,midhigh,5,123,218,4.449
broad,midhigh,6,425,729,4.703
broad,midhigh,7,1608,2898,4.564
broad,midhigh,8,5831,10480,4.586
broad,midhigh,9,15038,26946,4.589
broad,midhigh,10,10139,18265,4.578
broad,midhigh,11,56690,101680,4.564
broad,midhigh,12,92783,166213,4.566
broad,high,2,18,31,4.429
broad,high,3,38,65,5.0
broad,high,4,90,163,4.075
broad,high,5,342,585,4.606
broad,high,6,795,1426,4.63
broad,high,7,2217,4023,4.436
broad,high,8,1996,3446,4.34
broad,high,9,6220,11216,4.51
broad,high,10,18624,33451,4.564
broad,high,11,113048,202909,4.562
broad,high,12,173177,310995,4.559
deep,low,2,7,12,1.714
deep,low,3,11,23,2.091
deep,low,4,24,54,2.25
deep,low,5,34,73,2.147
deep,low,6,38,88,2.316
deep,low,7,40,92,2.3
deep,low,8,49,122,2.49
deep,low,9,42,89,2.119
deep,low,10,95,212,2.232
deep,low,11,186,422,2.269
deep,low,12,221,524,2.371
deep,low,13,201,488,2.428
deep,low,14,888,2040,2.297
deep,low,15,1581,3664,2.318
deep,low,16,2104,4886,2.322
deep,low,17,8899,20777,2.335
deep,low,18,9826,22938,2.334
deep,low,19,14464,33829,2.339
deep,low,20,10572,24550,2.322
deep,low,21,22358,52196,2.335
deep,low,22,17383,40650,2.338
deep,low,23,31131,72727,2.336
deep,low,24,59744,139367,2.333
deep,low,25,71464,166533,2.33
deep,midlow,2,6,9,1.5
deep,midlow,3,11,20,1.818
deep,midlow,4,17,31,1.824
deep,midlow,5,38,81,2.132
deep,midlow,6,33,77,2.333
deep,midlow,7,41,95,2.317
deep,midlow,8,67,155,2.313
deep,midlow,9,222,507,2.284
deep,midlow,10,213,503,2.362
deep,midlow,11,215,496,2.307
deep,midlow,12,633,1483,2.343
deep,midlow,13,829,1918,2.314
deep,midlow,14,773,1828,2.365
deep,midlow,15,2982,6921,2.321
deep,midlow,16,2874,6699,2.331
deep,midlow,17,2523,5828,2.31
deep,midlow,18,7187,16777,2.334
deep,midlow,19,6631,15496,2.337
deep,midlow,20,11022,25715,2.333
deep,midlow,21,18647,43623,2.339
deep,midlow,22,41043,95829,2.335
deep,midlow,23,28350,66288,2.338
deep,midlow,24,58968,137593,2.333
deep,midlow,25,77290,180369,2.334
deep,midhigh,2,7,11,1.571
deep,midhigh,3,13,28,2.154
deep,midhigh,4,14,31,2.214
deep,midhigh,5,49,110,2.245
deep,midhigh,6,50,112,2.24
deep,midhigh,7,107,229,2.14
deep,midhigh,8,114,253,2.219
deep,midhigh,9,129,303,2.349
deep,midhigh,10,301,685,2.276
deep,midhigh,11,438,1020,2.329
deep,midhigh,12,562,1315,2.34
deep,midhigh,13,855,1988,2.325
deep,midhigh,14,1489,3462,2.325
deep,midhigh,15,1262,2941,2.33
deep,midhigh,16,2340,5466,2.336
deep,midhigh,17,5533,12848,2.322
deep,midhigh,18,5501,12850,2.336
deep,midhigh,19,11101,25832,2.327
deep,midhigh,20,11915,27805,2.334
deep,midhigh,21,11176,25946,2.322
deep,midhigh,22,28093,65576,2.334
deep,midhigh,23,17536,41037,2.34
deep,midhigh,24,27199,63539,2.336
deep,midhigh,25,49338,115164,2.334
deep,high,2,5,5,1.0
deep,high,3,10,19,1.9
deep,high,4,18,35,1.944
deep,high,5,26,54,2.077
deep,high,6,39,86,2.205
deep,high,7,77,161,2.091
deep,high,8,72,160,2.222
deep,high,9,76,177,2.329
deep,high,10,325,737,2.268
deep,high,11,726,1769,2.437
deep,high,12,351,836,2.382
deep,high,13,506,1193,2.358
deep,high,14,1166,2682,2.3
deep,high,15,2759,6436,2.333
deep,high,16,1960,4608,2.351
deep,high,17,3499,8133,2.324
deep,high,18,4862,11405,2.346
deep,high,19,7269,17007,2.34
deep,high,20,5567,13002,2.336
deep,high,21,16487,38511,2.336
deep,high,22,16826,39258,2.333
deep,high,23,33788,78705,2.329
deep,high,24,62723,146556,2.337
deep,high,25,63952,149218,2.333
