strategyID,endTime,algorithmStartTime,algorithmDuration,startTime,setupDuration,duration,variation,frequency,depth,deviation,nodes,edges,calls
0,1555918868289,1555918868286,3,1555918868285,1,4,broad,low,2,0,13,21,5.25
0,1555918868388,1555918868385,3,1555918868384,1,4,broad,low,2,5,13,21,5.25
0,1555918868486,1555918868484,2,1555918868483,1,3,broad,low,2,10,13,21,5.25
0,1555918868584,1555918868581,3,1555918868579,2,5,broad,low,2,20,13,21,5.25
0,1555918868679,1555918868676,3,1555918868675,1,4,broad,low,2,30,13,21,5.25
1,1555918868775,1555918868772,3,1555918868771,1,4,broad,low,2,0,13,21,5.25
1,1555918868871,1555918868868,3,1555918868867,1,4,broad,low,2,5,13,21,5.25
1,1555918868968,1555918868965,3,1555918868964,1,4,broad,low,2,10,13,21,5.25
1,1555918869067,1555918869065,2,1555918869064,1,3,broad,low,2,20,13,21,5.25
1,1555918869163,1555918869161,2,1555918869160,1,3,broad,low,2,30,13,21,5.25
2,1555918869258,1555918869255,3,1555918869254,1,4,broad,low,2,0,13,21,5.25
2,1555918869355,1555918869352,3,1555918869351,1,4,broad,low,2,5,13,21,5.25
2,1555918869452,1555918869449,3,1555918869448,1,4,broad,low,2,10,13,21,5.25
2,1555918869548,1555918869545,3,1555918869544,1,4,broad,low,2,20,13,21,5.25
2,1555918869646,1555918869643,3,1555918869642,1,4,broad,low,2,30,13,21,5.25
3,1555918869741,1555918869738,3,1555918869737,1,4,broad,low,2,0,13,21,5.25
3,1555918869847,1555918869844,3,1555918869843,1,4,broad,low,2,5,13,21,5.25
3,1555918869941,1555918869938,3,1555918869937,1,4,broad,low,2,10,13,21,5.25
3,1555918870048,1555918870046,2,1555918870044,2,4,broad,low,2,20,13,21,5.25
3,1555918870146,1555918870143,3,1555918870142,1,4,broad,low,2,30,13,21,5.25
4,1555918870248,1555918870245,3,1555918870243,2,5,broad,low,2,0,13,21,5.25
4,1555918870343,1555918870339,4,1555918870338,1,5,broad,low,2,5,13,21,5.25
4,1555918870444,1555918870442,2,1555918870440,2,4,broad,low,2,10,13,21,5.25
4,1555918870541,1555918870538,3,1555918870537,1,4,broad,low,2,20,13,21,5.25
4,1555918870636,1555918870634,2,1555918870633,1,3,broad,low,2,30,13,21,5.25
5,1555918870731,1555918870728,3,1555918870727,1,4,broad,low,2,0,13,21,5.25
5,1555918870830,1555918870827,3,1555918870826,1,4,broad,low,2,5,13,21,5.25
5,1555918870931,1555918870928,3,1555918870927,1,4,broad,low,2,10,13,21,5.25
5,1555918871035,1555918871033,2,1555918871032,1,3,broad,low,2,20,13,21,5.25
5,1555918871138,1555918871135,3,1555918871134,1,4,broad,low,2,30,13,21,5.25
6,1555918871238,1555918871235,3,1555918871234,1,4,broad,low,2,0,13,21,5.25
6,1555918871335,1555918871332,3,1555918871331,1,4,broad,low,2,5,13,21,5.25
6,1555918871434,1555918871431,3,1555918871430,1,4,broad,low,2,10,13,21,5.25
6,1555918871533,1555918871530,3,1555918871529,1,4,broad,low,2,20,13,21,5.25
6,1555918871630,1555918871627,3,1555918871626,1,4,broad,low,2,30,13,21,5.25
7,1555918871726,1555918871723,3,1555918871722,1,4,broad,low,2,0,13,21,5.25
7,1555918871820,1555918871817,3,1555918871816,1,4,broad,low,2,5,13,21,5.25
7,1555918871919,1555918871915,4,1555918871914,1,5,broad,low,2,10,13,21,5.25
7,1555918872016,1555918872013,3,1555918872012,1,4,broad,low,2,20,13,21,5.25
7,1555918872117,1555918872114,3,1555918872113,1,4,broad,low,2,30,13,21,5.25
8,1555918872214,1555918872211,3,1555918872210,1,4,broad,low,2,0,13,21,5.25
8,1555918872315,1555918872312,3,1555918872311,1,4,broad,low,2,5,13,21,5.25
8,1555918872410,1555918872407,3,1555918872406,1,4,broad,low,2,10,13,21,5.25
8,1555918872507,1555918872504,3,1555918872503,1,4,broad,low,2,20,13,21,5.25
8,1555918872609,1555918872606,3,1555918872605,1,4,broad,low,2,30,13,21,5.25
9,1555918872707,1555918872703,4,1555918872702,1,5,broad,low,2,0,13,21,5.25
9,1555918872809,1555918872806,3,1555918872805,1,4,broad,low,2,5,13,21,5.25
9,1555918872912,1555918872909,3,1555918872907,2,5,broad,low,2,10,13,21,5.25
9,1555918873005,1555918873002,3,1555918873001,1,4,broad,low,2,20,13,21,5.25
9,1555918873099,1555918873096,3,1555918873095,1,4,broad,low,2,30,13,21,5.25
10,1555918873204,1555918873200,4,1555918873199,1,5,broad,low,2,0,13,21,5.25
10,1555918873302,1555918873299,3,1555918873298,1,4,broad,low,2,5,13,21,5.25
10,1555918873402,1555918873399,3,1555918873398,1,4,broad,low,2,10,13,21,5.25
10,1555918873503,1555918873500,3,1555918873498,2,5,broad,low,2,20,13,21,5.25
10,1555918873599,1555918873596,3,1555918873595,1,4,broad,low,2,30,13,21,5.25
11,1555918873694,1555918873691,3,1555918873689,2,5,broad,low,2,0,13,21,5.25
11,1555918873787,1555918873784,3,1555918873783,1,4,broad,low,2,5,13,21,5.25
11,1555918873884,1555918873881,3,1555918873880,1,4,broad,low,2,10,13,21,5.25
11,1555918873980,1555918873977,3,1555918873976,1,4,broad,low,2,20,13,21,5.25
11,1555918874079,1555918874076,3,1555918874074,2,5,broad,low,2,30,13,21,5.25
0,1555918874176,1555918874173,3,1555918874171,2,5,broad,low,3,0,42,62,3.875
0,1555918874278,1555918874275,3,1555918874274,1,4,broad,low,3,5,42,62,3.875
